 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
    29    26    27   5.831E-01   6.614E-01   4.548E-02   6.720E-01
    23    29    27   8.114E-01   9.308E-01   4.548E-02   7.081E-01
    23    23    27   0.000E+00   0.000E+00   4.548E-02   7.081E-01
    23    26    27   3.630E-02   5.896E-02   4.548E-02   7.081E-01
    26    29    27   8.466E-01   9.608E-01   4.548E-02   7.022E-01
    26    23    27   1.868E-02   3.034E-02   4.548E-02   7.022E-01
    26    26    27   0.000E+00   0.000E+00   4.548E-02   7.022E-01
    60    60    28   0.000E+00   0.000E+00   1.267E-02   2.144E-01
    60  2646    28   6.827E-02   1.376E-01   1.267E-02   2.144E-01
    60    30    28   5.270E-01   8.341E-01   1.267E-02   2.144E-01
  2646    60    28   1.936E-01   3.905E-01   1.267E-02   2.182E-01
  2646  2646    28   0.000E+00   0.000E+00   1.267E-02   2.182E-01
  2646    30    28   3.111E-01   5.703E-01   1.267E-02   2.182E-01
    30    60    28   4.949E-01   7.842E-01   1.267E-02   2.242E-01
    30  2646    28   1.030E-01   1.891E-01   1.267E-02   2.242E-01
    30    30    28   0.000E+00   0.000E+00   1.267E-02   2.242E-01
  3333  3333    29   0.000E+00   0.000E+00   1.117E-01   1.602E+00
  3333    24    29   6.331E-02   7.676E-02   1.117E-01   1.602E+00
  3333    27    29   8.652E-01   9.182E-01   1.117E-01   1.602E+00
    24  3333    29   2.956E-02   3.585E-02   1.117E-01   1.621E+00
    24    24    29   0.000E+00   0.000E+00   1.117E-01   1.621E+00
    24    27    29   9.107E-01   9.600E-01   1.117E-01   1.621E+00
    27  3333    29   2.897E-01   3.076E-01   1.117E-01   1.692E+00
    27    24    29   6.531E-01   6.887E-01   1.117E-01   1.692E+00
    27    27    29   0.000E+00   0.000E+00   1.117E-01   1.692E+00
   318   318    30   0.000E+00   0.000E+00   9.393E-03   1.671E-01
   318    28    30   8.298E-03   3.673E-02   9.393E-03   1.671E-01
   318    73    30   5.527E-01   9.295E-01   9.393E-03   1.671E-01
    28   318    30   6.170E-03   2.721E-02   9.393E-03   1.625E-01
    28    28    30   0.000E+00   0.000E+00   9.393E-03   1.625E-01
    28    73    30   5.636E-01   9.401E-01   9.393E-03   1.625E-01
    73   318    30   2.443E-01   4.111E-01   9.393E-03   1.696E-01
    73    28    30   3.351E-01   5.597E-01   9.393E-03   1.696E-01
    73    73    30   0.000E+00   0.000E+00   9.393E-03   1.696E-01
    35    35    31   0.000E+00   0.000E+00   1.200E-02   1.984E-01
    35  1426    31   2.548E-01   4.233E-01   1.200E-02   1.984E-01
    35  2646    31   3.305E-01   5.456E-01   1.200E-02   1.984E-01
  1426    35    31   5.567E-01   9.262E-01   1.200E-02   2.070E-01
  1426  1426    31   0.000E+00   0.000E+00   1.200E-02   2.070E-01
  1426  2646    31   9.582E-03   3.984E-02   1.200E-02   2.070E-01
  2646    35    31   5.666E-01   9.364E-01   1.200E-02   2.062E-01
  2646  1426    31   7.517E-03   3.124E-02   1.200E-02   2.062E-01
  2646  2646    31   0.000E+00   0.000E+00   1.200E-02   2.062E-01
    40    40    32   0.000E+00   0.000E+00   1.496E+00   1.512E+01
    40  3339    32   4.810E-01   4.886E-01   1.496E+00   1.512E+01
    40  3734    32   5.018E-01   5.096E-01   1.496E+00   1.512E+01
  3339    40    32   6.765E-01   6.874E-01   1.496E+00   1.846E+01
  3339  3339    32   0.000E+00   0.000E+00   1.496E+00   1.846E+01
  3339  3734    32   3.045E-01   3.110E-01   1.496E+00   1.846E+01
  3734    40    32   6.854E-01   6.962E-01   1.496E+00   1.632E+01
  3734  3339    32   2.957E-01   3.020E-01   1.496E+00   1.632E+01
  3734  3734    32   0.000E+00   0.000E+00   1.496E+00   1.632E+01
  3730  3730    33   0.000E+00   0.000E+00   7.435E-01   5.726E+00
  3730    18    33   7.383E-01   7.647E-01   7.435E-01   5.726E+00
  3730  3772    33   2.171E-01   2.295E-01   7.435E-01   5.726E+00
    18  3730    33   4.802E-01   4.982E-01   7.435E-01   8.275E+00
    18    18    33   0.000E+00   0.000E+00   7.435E-01   8.275E+00
    18  3772    33   4.802E-01   4.982E-01   7.435E-01   8.275E+00
  3772  3730    33   2.171E-01   2.301E-01   7.435E-01   8.560E+00
  3772    18    33   7.383E-01   7.660E-01   7.435E-01   8.560E+00
  3772  3772    33   0.000E+00   0.000E+00   7.435E-01   8.560E+00
  3845  3845    34   0.000E+00   0.000E+00   1.961E+01   1.492E+02
  3845  3769    34   7.457E-01   7.469E-01   1.961E+01   1.492E+02
  3845    45    34   2.523E-01   2.529E-01   1.961E+01   1.492E+02
  3769  3845    34   6.298E-01   6.308E-01   1.961E+01   1.655E+02
  3769  3769    34   0.000E+00   0.000E+00   1.961E+01   1.655E+02
  3769    45    34   3.683E-01   3.690E-01   1.961E+01   1.655E+02
    45  3845    34   3.657E-01   3.666E-01   1.961E+01   1.812E+02
    45  3769    34   6.320E-01   6.332E-01   1.961E+01   1.812E+02
    45    45    34   0.000E+00   0.000E+00   1.961E+01   1.812E+02
    61    61    35   0.000E+00   0.000E+00   1.608E-02   2.592E-01
